Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Trea Turner,77,346,9,54,35,19,6.90%,15.60%,0.148,0.337,0.3,0.355,0.448,0.352,0.337,125,3.3,13.3,7.3,3.3,6.90%,15.60%,0.44,0.3,0.355,0.448,0.803,0.148,6.5,0.337,2.1,1.2,51,10.6,0.352,125,0.337,1.22,20.10%,43.90%,36.00%,9.50%,9.50%,14,12.10%,0,0.00%,40.20%,35.60%,24.20%,13.30%,54.50%,32.20%,203,87.4,102.8,107.7,4.5,8,3.90%,66,32.50%,0.215,0.27,0.293,0.388,0.246,0.306
Trent Grisham,68,265,15,37,31,0,13.20%,23.80%,0.227,0.265,0.24,0.343,0.467,0.355,0.371,130,-1.4,7.6,-1.2,1.6,13.20%,23.80%,0.56,0.24,0.343,0.467,0.811,0.227,2.6,0.265,-0.6,-0.9,39,8.7,0.355,130,0.265,0.74,18.80%,34.50%,46.70%,11.70%,19.50%,6,10.50%,0,0.00%,47.00%,36.70%,16.30%,14.50%,51.20%,34.30%,209,87.2,99.4,109,10.5,0,0.00%,63,30.10%,0.293,0.266,0.333,0.328,0.317,0.304
Trevor Larnach,74,306,11,41,36,2,8.50%,21.60%,0.172,0.302,0.259,0.328,0.431,0.331,0.329,114,-0.5,4.3,-9.5,0.5,8.50%,21.60%,0.39,0.259,0.328,0.431,0.759,0.172,3.5,0.302,0.4,-0.9,40,4.2,0.331,114,0.302,1.32,19.50%,45.70%,34.80%,4.10%,15.10%,4,4.20%,0,0.00%,41.40%,35.20%,23.30%,11.00%,60.00%,29.00%,269,87.3,105.4,110.3,10.7,19,7.10%,101,37.50%,0.257,0.256,0.445,0.412,0.315,0.302
Trevor Story,77,316,11,35,39,11,4.40%,30.10%,0.134,0.302,0.232,0.273,0.366,0.282,0.295,73,1.9,-8,1.6,0.4,4.40%,30.10%,0.15,0.232,0.273,0.366,0.639,0.134,5.2,0.302,0.2,1.8,28,-8.2,0.282,73,0.302,1.22,16.70%,45.80%,37.40%,11.80%,14.50%,7,7.50%,0,0.00%,36.30%,41.20%,22.50%,18.10%,50.50%,31.40%,253,87.3,101.5,107.9,19.2,11,4.30%,87,34.40%,0.247,0.25,0.399,0.381,0.306,0.3
Ty France,77,309,6,34,42,1,4.20%,14.90%,0.113,0.294,0.262,0.324,0.376,0.312,0.351,100,-2.2,-2,-1.5,0.7,4.20%,14.90%,0.28,0.262,0.324,0.376,0.7,0.113,2.7,0.294,-1.9,-0.3,35,-0.5,0.312,100,0.294,1.52,22.40%,46.80%,30.80%,5.50%,8.20%,4,3.60%,0,0.00%,34.20%,39.70%,26.20%,12.70%,56.50%,30.80%,239,89.3,108.5,112.4,5.8,15,6.30%,94,39.30%,0.22,0.262,0.331,0.397,0.25,0.3
Tyler Soderstrom,80,334,14,42,45,5,9.90%,24.00%,0.186,0.305,0.257,0.338,0.443,0.342,0.358,121,0,8,-9.8,1,9.90%,24.00%,0.41,0.257,0.338,0.443,0.781,0.186,4.6,0.305,-0.5,0.4,46,7.4,0.342,121,0.305,1.35,19.40%,46.30%,34.30%,5.40%,18.90%,6,6.00%,1,100.00%,39.60%,36.40%,24.00%,13.40%,49.30%,37.30%,167,91.3,106.1,111.9,21.5,16,9.60%,83,49.70%,0.216,0.221,0.432,0.407,0.303,0.3
Victor Scott II,74,267,3,35,24,22,9.00%,27.00%,0.083,0.333,0.24,0.331,0.323,0.299,0.287,90,4.1,1,4.3,1.4,9.00%,27.00%,0.33,0.24,0.331,0.323,0.654,0.083,7.6,0.333,0.6,3.5,28,-3.3,0.299,90,0.333,1.22,25.90%,40.80%,33.30%,2.00%,6.10%,1,1.70%,6,37.50%,38.00%,30.70%,31.30%,14.70%,69.90%,15.30%,161,89.8,107.3,112.3,5.9,16,9.90%,66,41.00%,0.228,0.221,0.357,0.392,0.287,0.299
Vinnie Pasquantino,78,328,11,31,42,1,7.00%,15.90%,0.14,0.29,0.267,0.326,0.407,0.32,0.332,101,-2.5,-2.2,-4.8,0.4,7.00%,15.90%,0.44,0.267,0.326,0.407,0.733,0.14,2.6,0.29,-2.2,-0.4,40,1.6,0.32,101,0.29,0.95,17.70%,40.20%,42.20%,13.30%,10.50%,4,4.00%,0,0.00%,45.40%,34.10%,20.50%,14.50%,51.00%,34.50%,244,84.5,101.6,109.2,15.5,13,5.30%,70,28.70%,0.266,0.24,0.423,0.381,0.323,0.297
Vladimir Guerrero Jr.,77,339,10,46,39,2,13.30%,14.20%,0.16,0.306,0.281,0.383,0.441,0.36,0.413,135,-1.3,12.2,-5,1.9,13.30%,14.20%,0.94,0.281,0.383,0.441,0.824,0.16,2.4,0.306,-0.2,-1,52,12.5,0.36,135,0.306,1.44,22.30%,45.90%,31.80%,9.10%,13.00%,8,7.20%,0,0.00%,34.30%,37.20%,28.50%,16.10%,41.30%,42.60%,163,88.6,103.8,108.4,25.1,13,8.00%,60,36.80%,0.217,0.212,0.425,0.37,0.319,0.297
Will Smith,63,252,9,39,42,2,14.30%,18.30%,0.211,0.377,0.33,0.425,0.541,0.415,0.395,170,-1.4,19.2,2.5,3.1,14.30%,18.30%,0.78,0.33,0.425,0.541,0.965,0.211,3.3,0.377,-0.1,-1.3,50,20.4,0.415,170,0.377,0.67,21.40%,31.50%,47.00%,7.60%,11.40%,2,3.80%,0,0.00%,30.40%,38.70%,31.00%,13.70%,52.40%,33.90%,224,87.1,100.4,108.9,16.9,5,2.20%,60,26.80%,0.31,0.272,0.427,0.366,0.336,0.297
William Contreras,75,322,6,38,34,5,15.20%,19.60%,0.107,0.289,0.241,0.354,0.348,0.315,0.316,99,-0.7,-0.9,5,1.5,15.20%,19.60%,0.78,0.241,0.354,0.348,0.702,0.107,3.8,0.289,-1.1,0.4,37,0.2,0.315,99,0.289,1.85,15.70%,54.80%,29.50%,11.30%,9.70%,11,9.60%,0,0.00%,40.50%,34.80%,24.80%,19.00%,51.40%,29.50%,158,88.6,104.9,112.2,4.7,8,5.10%,66,41.80%,0.223,0.222,0.345,0.338,0.301,0.296
Willson Contreras,75,322,10,39,50,3,7.80%,24.20%,0.17,0.306,0.248,0.333,0.418,0.331,0.37,112,-0.3,4.4,-2.5,1.3,7.80%,24.20%,0.32,0.248,0.333,0.418,0.752,0.17,3.7,0.306,-0.4,0.1,42,4.4,0.331,112,0.306,1.27,21.80%,43.70%,34.50%,5.60%,14.10%,4,4.40%,0,0.00%,40.10%,37.70%,22.20%,17.90%,50.70%,31.40%,204,90.1,106.7,111.7,13.9,21,10.30%,93,45.60%,0.232,0.238,0.366,0.403,0.282,0.295
Willy Adames,78,335,9,42,33,4,11.00%,26.30%,0.137,0.256,0.206,0.293,0.344,0.283,0.306,80,-0.1,-7.9,4.1,0.7,11.00%,26.30%,0.42,0.206,0.293,0.344,0.637,0.137,4.3,0.256,0.4,-0.5,31,-8.2,0.283,80,0.256,0.76,16.30%,36.10%,47.60%,10.10%,9.10%,6,8.00%,0,0.00%,38.90%,34.60%,26.40%,20.20%,49.00%,30.80%,215,84.9,100.2,106.8,16.3,10,4.70%,51,23.70%,0.249,0.231,0.398,0.345,0.32,0.293
Wilmer Flores,76,300,11,31,54,1,8.30%,18.30%,0.149,0.275,0.249,0.323,0.398,0.32,0.293,105,-1.8,0.1,-7.6,0.2,8.30%,18.30%,0.45,0.249,0.323,0.398,0.721,0.149,2.1,0.275,-1.5,-0.3,36,1.4,0.32,105,0.275,0.87,20.00%,37.20%,42.80%,14.10%,12.00%,3,3.80%,0,0.00%,38.10%,36.70%,25.10%,18.60%,60.00%,21.40%,208,86.4,103.6,109.8,13.6,7,3.40%,73,35.10%,0.217,0.254,0.297,0.341,0.259,0.29
Wyatt Langford,67,292,13,32,31,11,9.60%,26.00%,0.189,0.272,0.232,0.308,0.421,0.317,0.337,103,0.7,1.6,0.6,1.2,9.60%,26.00%,0.37,0.232,0.308,0.421,0.729,0.189,4.2,0.272,0.1,0.6,34,0.6,0.317,103,0.272,0.95,19.40%,39.20%,41.40%,9.10%,16.90%,9,12.30%,0,0.00%,46.80%,28.50%,24.70%,15.60%,48.90%,35.50%,224,86.1,100.3,110.4,11.1,5,2.20%,68,30.40%,0.247,0.274,0.32,0.351,0.265,0.288
Xander Bogaerts,78,315,4,33,29,13,10.50%,16.50%,0.098,0.284,0.246,0.324,0.344,0.296,0.33,90,1.2,-2.4,5.7,1.4,10.50%,16.50%,0.63,0.246,0.324,0.344,0.668,0.098,4.8,0.284,-0.5,1.7,32,-4.7,0.296,90,0.284,1.26,23.10%,42.80%,34.10%,11.50%,5.10%,15,15.30%,0,0.00%,40.20%,37.10%,22.70%,15.70%,56.80%,27.50%,163,86.1,100.8,106.6,12.9,6,3.70%,44,27.00%,0.24,0.229,0.323,0.303,0.299,0.287
Xavier Edwards,62,280,0,28,17,14,10.40%,14.60%,0.041,0.348,0.293,0.367,0.333,0.317,0.304,98,-0.1,-0.6,-1.1,0.8,10.40%,14.60%,0.71,0.293,0.367,0.333,0.7,0.041,4.8,0.348,0.2,-0.2,33,0.6,0.317,98,0.348,1.34,24.60%,43.20%,32.20%,4.70%,0.00%,5,5.80%,4,40.00%,27.30%,33.00%,39.70%,15.30%,62.70%,22.00%,161,90,106.7,112.7,13.1,16,9.90%,65,40.40%,0.207,0.207,0.35,0.363,0.281,0.286
Yainer Diaz,69,279,9,29,30,0,3.60%,18.60%,0.143,0.262,0.237,0.269,0.38,0.283,0.332,81,-0.4,-6.4,-3.3,0,3.60%,18.60%,0.19,0.237,0.269,0.38,0.649,0.143,2.6,0.262,0.4,-0.8,25,-6.9,0.283,81,0.262,1.15,20.90%,42.30%,36.70%,7.60%,11.40%,6,6.60%,0,0.00%,38.60%,38.60%,22.80%,15.30%,51.60%,33.00%,212,90.2,104,109.7,9.5,12,5.70%,95,44.80%,0.232,0.241,0.283,0.349,0.258,0.284
Yandy Díaz,73,325,12,36,44,3,6.50%,13.50%,0.181,0.302,0.289,0.338,0.47,0.348,0.374,129,0.3,11.2,-7.1,1.5,6.50%,13.50%,0.48,0.289,0.338,0.47,0.808,0.181,3.8,0.302,0.3,0.1,47,8.9,0.348,129,0.302,1.88,17.10%,54.10%,28.80%,4.10%,16.20%,7,5.00%,0,0.00%,30.00%,40.50%,29.60%,13.60%,45.90%,40.50%,248,86.8,100.1,107.5,20.2,8,3.20%,67,27.00%,0.222,0.227,0.325,0.333,0.278,0.283
Zach McKinstry,71,270,4,37,22,8,10.70%,23.00%,0.153,0.349,0.272,0.353,0.426,0.34,0.318,120,3.5,9.8,1.7,2.1,10.70%,23.00%,0.47,0.272,0.353,0.426,0.779,0.153,7.3,0.349,2.7,0.7,37,5.6,0.34,120,0.349,1.32,30.10%,39.80%,30.10%,9.40%,7.50%,5,7.10%,0,0.00%,43.50%,33.90%,22.60%,15.80%,58.80%,25.40%,299,85.3,96.5,107.8,12.8,1,0.30%,49,16.40%,0.282,0.273,0.393,0.343,0.307,0.283
Zach Neto,61,262,12,46,29,13,4.20%,26.30%,0.216,0.339,0.278,0.321,0.494,0.35,0.369,125,0.5,7.9,-2.2,1.5,4.20%,26.30%,0.16,0.278,0.321,0.494,0.814,0.216,6.9,0.339,0.7,-0.2,38,7.5,0.35,125,0.339,1.05,23.60%,39.10%,37.40%,10.80%,18.50%,3,4.40%,0,0.00%,46.90%,31.60%,21.50%,8.50%,49.70%,41.80%,197,87.1,101.7,106.5,17,10,5.10%,63,32.00%,0.242,0.232,0.364,0.338,0.292,0.278
