"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Dare Ogunbowale","HST","RB","56","61.5","-5.5","3.3","3.6","-0.3","17","19","20.26","198","146.02","1","1.7856","112","122.7156","0","0.61"
"Jonathan Taylor","IND","RB","246.7","241","5.699999999999989","17.6","17.2","0.4","14","18","25.64","136","169.28","1","0.7968","1431","1249.718","11","11.44"
"Ty Johnson","BUF","RB","91.7","71.3","20.400000000000006","5.4","4.2","1.2","17","18","17.15","284","175.62","3","1.8816","213","167.041","1","1.44"
"Ray Davis","BUF","RB","116.1","96.5","19.599999999999994","6.8","5.7","1.2","17","17","14.68","189","113.77","3","1.0752","442","480.0824","3","2.67"
"Trey Sermon","IND","RB","53.8","71.7","-17.900000000000006","3.2","4.2","-1.1","17","16","15.54","99","116.04","0","0.48","159","217.885","2","3.31"
"Roschon Johnson","CHI","RB","77.4","74","3.4000000000000057","6","5.7","0.3","13","16","14.35","104","102.05","0","0.336","150","206.3806","6","4.47"
"Kenneth Gainwell","PHI","RB","62.6","85","-22.4","3.7","5","-1.3","17","16","18.64","116","133.33","0","0.6816","290","309.778","1","2.99"
"Emari Demercado","ARZ","RB","54.7","43.3","11.400000000000006","4.2","3.3","0.9","13","16","15.9","104","124.03","0","0.5952","223","106.8298","1","0.13"
"Christian McCaffrey","SF","RB","49.8","57.6","-7.800000000000004","12.4","14.4","-2","4","15","14.81","146","124.41","0","0.768","202","216.335","0","0.69"
"Isaac Guerendo","SF","RB","96.2","78.1","18.10000000000001","6.4","5.2","1.2","15","15","13.07","152","111.01","0","0.192","420","346.793","4","3.01"
"Cam Akers","MIN","RB","95.2","87.5","7.700000000000003","6.3","5.8","0.5","15","14","13.5","68","77.35","3","1.3152","444","456.2002","2","2.13"
"Pierre Strong Jr.","CLV","RB","35.2","42.9","-7.699999999999996","2.9","3.6","-0.6","12","14","17.7","104","118.78","0","0.2688","108","112.0336","0","0.09"
"Tyler Allgeier","ATL","RB","104.2","102.3","1.9000000000000057","6.1","6","0.1","17","13","11.44","88","78.88","0","0.1728","644","552.2214","3","4.45"
"Hunter Luepke","DAL","RB","26.9","29.8","-2.900000000000002","1.7","1.9","-0.2","16","12","11.37","111","92.77","0","0.0576","38","45.5704","0","0.71"
"Ezekiel Elliott","DAL","RB","59.5","72.2","-12.700000000000003","4","4.8","-0.8","15","12","13.22","69","73.19","0","0.4608","226","298.646","3","3.18"
"Jordan Mims","NO","RB","26.1","35.7","-9.600000000000001","2.9","4","-1.1","9","12","14.35","71","99.69","0","0.3264","70","89.817","0","0.08"
"D'Ernest Johnson","JAX","RB","35.9","47.8","-11.899999999999999","2.8","3.7","-0.9","13","12","14.15","96","99.71","0","0.528","143","134.525","0","1.18"
